product_id,product_name,product_launch_date,month,orders,total_revenue
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-03,60,2999.4
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-04,99,4949.01
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-05,108,5398.92
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-06,140,6998.6
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-07,169,8448.31
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-08,228,11397.72
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-09,287,14347.13
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-10,371,18546.29
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-11,618,30893.82
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2012-12,506,25294.94
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-01,343,17146.57
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-02,336,16796.64
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-03,320,15996.8
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-04,459,22945.41
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-05,489,24445.11
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-06,503,25144.97
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-07,509,25444.91
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-08,510,25494.9
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-09,537,26844.63
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-10,603,30143.97
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-11,724,36192.76
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2013-12,818,40891.82
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-01,728,36392.72
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-02,584,29194.16
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-03,785,39242.15
